Name,Description,Status
Remove AMI Configuration Steps,"Remove the Area Median Income (AMI) configuration from the listing creation form in the Partners portal. This includes the AMI chart selector and percentage inputs on individual units and unit groups.

Tests to update:
- Delete ami-chart.service.spec.ts and ami-chart.controller.spec.ts
- Update listing creation e2e tests to remove AMI steps
- Update unit/unit-group test fixtures that reference AMI data",Planned
Remove AMI Chart Prisma Models,"Remove AmiChart model and disconnect UnitGroupAmiLevels references from schema.prisma. Create a database migration. Note: Units.amiChartId is optional so this won't break unit creation.

Tests to update:
- Remove AMI chart seed data and test fixtures
- Update unit creation tests that reference AMI charts",Planned
Remove Lottery Configuration,"Remove the lottery toggle, lottery opt-in, and all lottery status/configuration fields from the listing creation form in the Partners portal.

Tests to update:
- Delete lottery.service.spec.ts and lottery.controller.spec.ts
- Update listing creation e2e tests to remove lottery steps
- Remove lottery status assertions from listing detail tests",Planned
Remove Lottery Prisma Models,"Remove lottery-related Prisma models: ApplicationLotteryPositions, ApplicationLotteryTotal, and lottery status columns from the Listings model. Create a database migration.

Tests to update:
- Remove lottery-related seed data and test fixtures",Planned
Remove Application Types Configuration,"Remove the Application Types step from the listing creation form (digital application toggle, paper application upload, common digital application, application methods).

Tests to update:
- Update listing creation e2e tests to skip application type configuration
- Remove application method test fixtures",Planned
Remove Waitlist Configuration,"Remove waitlist-related fields from the listing creation form: waitlist open toggle, waitlist max size, waitlist current size, display waitlist size, and waitlist open spots.

Tests to update:
- Update listing service tests to remove waitlist field assertions
- Update listing creation e2e tests",Planned
Remove Application Processing Tab,"Delete the application review interface under sites/partners/src/pages/application/ and remove the Applications tab from individual listing management views.

Tests to update:
- Delete application review Cypress tests
- Remove application tab navigation assertions from listing detail tests",Planned
Remove Export Applications,"Delete the CSV export functionality for applications from the Partners portal.

Tests to update:
- Delete application-exporter.service.spec.ts
- Remove export button assertions from e2e tests",Planned
Remove Duplicate Application Detection,"Delete the application-flagged-set module which automatically scans for duplicate applicant names and emails. Remove ApplicationFlaggedSet Prisma models and create a database migration.

Tests to update:
- Delete application-flagged-set.service.spec.ts and related integration tests",Planned
Remove Section 8 Acceptance Field,"Remove the Section 8 acceptance toggle from the listing form. This is a US-specific program reference not relevant to the Waterloo Region.

Tests to update:
- Remove section8Acceptance from listing test fixtures and assertions",Planned
Remove HUD/EBLL Clearance Field,"Remove the HUD EBLL clearance toggle from the listing form. This is a US-specific federal compliance field.

Tests to update:
- Remove hasHudEbllClearance from listing test fixtures and assertions",Planned
Remove COC Info Field,"Remove the Continuum of Care (COC) info field from the listing form. This is a US-specific homelessness program reference.

Tests to update:
- Remove cocInfo from listing test fixtures and assertions",Planned
Remove Building Selection Criteria,"Remove the building selection criteria text and file upload from the listing form. This was used for US affordable housing program compliance documents.

Tests to update:
- Remove buildingSelectionCriteria from listing test fixtures",Planned
Remove Program Rules Field,"Remove the program rules text field from the listing form. This was used to describe US affordable housing program eligibility rules.

Tests to update:
- Remove programRules from listing test fixtures",Planned
